,d_truth,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|history|plain
d_truth,1.0000001,-0.02595115,0.07199426,0.16093959,0.09405341,0.06118514,0.056242272,0.021465015,0.043178968,-0.007903529,-0.036434047,-0.058598533,-0.013433415,-0.037564415,0.007584814,-0.03620626,0.024242016,0.06887709
dissimulation|-|everyday|formal,-0.02595115,1.0,0.68124276,0.69740176,0.65069133,0.42067626,0.47512013,0.66890115,0.690966,0.15680546,0.33575886,0.050239693,0.33303,0.2205881,0.3620403,0.060797002,0.3283673,0.2242226
dissimulation|-|everyday|plain,0.07199426,0.68124276,1.0000002,0.67605954,0.6964896,0.46370268,0.59634036,0.60300994,0.67283463,0.44790012,0.4214914,0.1715795,0.42809218,0.41273883,0.4296369,0.18545654,0.37002686,0.22615257
dissimulation|-|geography|formal,0.16093959,0.69740176,0.67605954,1.0000002,0.8708327,0.51438874,0.62012243,0.7176961,0.78946817,0.13849702,0.46090552,0.08367732,0.40484384,0.124769635,0.47001886,0.11015086,0.39465833,0.25740942
dissimulation|-|geography|plain,0.09405341,0.65069133,0.6964896,0.8708327,1.0,0.44244814,0.6047614,0.68749887,0.8200507,0.12928867,0.47347063,0.03488614,0.41543645,0.10583261,0.4628673,0.08285172,0.43340468,0.26166758
dissimulation|-|history|formal,0.06118514,0.42067626,0.46370268,0.51438874,0.44244814,1.0000001,0.5761094,0.43974993,0.4573389,0.2302189,0.28614104,0.21377997,0.25708976,0.12490596,0.29917672,0.40957046,0.20837075,0.35796496
dissimulation|-|history|plain,0.056242272,0.47512013,0.59634036,0.62012243,0.6047614,0.5761094,0.9999998,0.5085962,0.572073,0.28917357,0.41813946,0.45223796,0.3577713,0.247165,0.43609586,0.48315457,0.28142706,0.42368606
dissimulation|-|science|formal,0.021465015,0.66890115,0.60300994,0.7176961,0.68749887,0.43974993,0.5085962,1.0,0.8347734,0.14440295,0.39293894,0.09825412,0.5277678,0.1488842,0.39161694,0.106769726,0.6004861,0.20704542
dissimulation|-|science|plain,0.043178968,0.690966,0.67283463,0.78946817,0.8200507,0.4573389,0.572073,0.8347734,1.0,0.12019448,0.4175328,0.05445467,0.5480964,0.107343644,0.40440217,0.091451496,0.6022733,0.2570154
simulation|counterfactual_world|everyday|plain,-0.007903529,0.15680546,0.44790012,0.13849702,0.12928867,0.2302189,0.28917357,0.14440295,0.12019448,1.0000002,0.58952016,0.628661,0.5312173,0.8222167,0.53628206,0.5465394,0.28947663,0.18935889
simulation|counterfactual_world|geography|plain,-0.036434047,0.33575886,0.4214914,0.46090552,0.47347063,0.28614104,0.41813946,0.39293894,0.4175328,0.58952016,1.0,0.6707162,0.74746996,0.5012563,0.86597157,0.5465305,0.49340865,0.2805927
simulation|counterfactual_world|history|plain,-0.058598533,0.050239693,0.1715795,0.08367732,0.03488614,0.21377997,0.45223796,0.09825412,0.05445467,0.628661,0.6707162,1.0000002,0.54408973,0.55940986,0.60123694,0.8168423,0.24840318,0.29893228
simulation|counterfactual_world|science|plain,-0.013433415,0.33303,0.42809218,0.40484384,0.41543645,0.25708976,0.3577713,0.5277678,0.5480964,0.5312173,0.74746996,0.54408973,1.0000001,0.47415432,0.6485167,0.44303626,0.8050773,0.19937246
simulation|fictional_frame|everyday|plain,-0.037564415,0.2205881,0.41273883,0.124769635,0.10583261,0.12490596,0.247165,0.1488842,0.107343644,0.8222167,0.5012563,0.55940986,0.47415432,1.0,0.5511378,0.530045,0.30463672,0.18513289
simulation|fictional_frame|geography|plain,0.007584814,0.3620403,0.4296369,0.47001886,0.4628673,0.29917672,0.43609586,0.39161694,0.40440217,0.53628206,0.86597157,0.60123694,0.6485167,0.5511378,1.0000001,0.62258816,0.4971114,0.29759315
simulation|fictional_frame|history|plain,-0.03620626,0.060797002,0.18545654,0.11015086,0.08285172,0.40957046,0.48315457,0.106769726,0.091451496,0.5465394,0.5465305,0.8168423,0.44303626,0.530045,0.62258816,0.9999999,0.2663379,0.42124885
simulation|fictional_frame|science|plain,0.024242016,0.3283673,0.37002686,0.39465833,0.43340468,0.20837075,0.28142706,0.6004861,0.6022733,0.28947663,0.49340865,0.24840318,0.8050773,0.30463672,0.4971114,0.2663379,1.0,0.16036353
simulation|persona|history|plain,0.06887709,0.2242226,0.22615257,0.25740942,0.26166758,0.35796496,0.42368606,0.20704542,0.2570154,0.18935889,0.2805927,0.29893228,0.19937246,0.18513289,0.29759315,0.42124885,0.16036353,1.0
